"cellLine"	"center"	"conc"	"drug"	"experiment"	"medianDMSO"	"normViability"	"replicate"	"stage"	"viability"
"Syn1"	"UCF"	2.5e-05	"Axitinib"	"exp-1"	94340	0.39262242951	"a"	"stage-2"	37040
"Syn1"	"UCF"	5e-06	"Axitinib"	"exp-1"	94340	0.467670129319	"a"	"stage-2"	44120
"Syn1"	"UCF"	1e-06	"Axitinib"	"exp-1"	94340	0.72376510494	"a"	"stage-2"	68280
"Syn1"	"UCF"	2e-07	"Axitinib"	"exp-1"	94340	0.970532117872	"a"	"stage-2"	91560
"Syn1"	"UCF"	4e-08	"Axitinib"	"exp-1"	94340	0.99258002968	"a"	"stage-2"	93640
"Syn1"	"UCF"	8e-09	"Axitinib"	"exp-1"	94340	0.872588509646	"a"	"stage-2"	82320
"Syn1"	"UCF"	1.6e-09	"Axitinib"	"exp-1"	94340	0.873860504558	"a"	"stage-2"	82440
"Syn1"	"UCF"	3.2e-10	"Axitinib"	"exp-1"	94340	0.950180199279	"a"	"stage-2"	89640
"Syn1"	"UCF"	6.4e-11	"Axitinib"	"exp-1"	94340	0.996396014416	"a"	"stage-2"	94000
"Syn1"	"UCF"	1.28e-11	"Axitinib"	"exp-1"	94340	0.885308458766	"a"	"stage-2"	83520
"Syn1"	"UCF"	2.5e-05	"Axitinib"	"exp-1"	94340	0.322238711045	"b"	"stage-2"	30400
"Syn1"	"UCF"	5e-06	"Axitinib"	"exp-1"	94340	0.34386262455	"b"	"stage-2"	32440
"Syn1"	"UCF"	1e-06	"Axitinib"	"exp-1"	94340	0.630909476362	"b"	"stage-2"	59520
"Syn1"	"UCF"	2e-07	"Axitinib"	"exp-1"	94340	0.87513249947	"b"	"stage-2"	82560
"Syn1"	"UCF"	4e-08	"Axitinib"	"exp-1"	94340	0.843332626669	"b"	"stage-2"	79560
"Syn1"	"UCF"	8e-09	"Axitinib"	"exp-1"	94340	0.89209243163	"b"	"stage-2"	84160
"Syn1"	"UCF"	1.6e-09	"Axitinib"	"exp-1"	94340	0.814076743693	"b"	"stage-2"	76800
"Syn1"	"UCF"	3.2e-10	"Axitinib"	"exp-1"	94340	0.842060631757	"b"	"stage-2"	79440
