"Accession"	"Description"	"Gene"	"Uniprot"	"Family"	"Score"	"Coverage"	"X..Proteins"	"X..Unique.Peptides"	"X..Peptides"	"X..PSMs"	"Area"	"X..AAs"	"MW..kDa."	"calc..pI"	"cellLine"	"replicate"	"referenceSample"	"refSampleReplicate"	"ratio"	"variability"	"count"	"condition"	"log2ratio"
"A6PW57"	"Phosphatidylinositol 4-phosphate 5-kinase type-1 alpha OS"	"PIP5K1A"	"PI51A"	"Metabolic"	53.68	"23.64%"	8	9	12	33	5.63e+08	550	61.2	8.34	"Syn1"	2	"Syn1"	1	0.921	17.9	17	"Syn1_2/Syn1_1"	-0.118726938570751
"A6PW57"	"Phosphatidylinositol 4-phosphate 5-kinase type-1 alpha OS"	"PIP5K1A"	"PI51A"	"Metabolic"	53.68	"23.64%"	8	9	12	33	5.63e+08	550	61.2	8.34	"Syn1"	3	"Syn1"	1	1.008	21.6	17	"Syn1_3/Syn1_1"	0.0114956388378294
"A6PW57"	"Phosphatidylinositol 4-phosphate 5-kinase type-1 alpha OS"	"PIP5K1A"	"PI51A"	"Metabolic"	53.68	"23.64%"	8	9	12	33	5.63e+08	550	61.2	8.34	"Syn5"	1	"Syn1"	1	0.975	22.9	17	"Syn5_1/Syn1_1"	-0.036525876025114
"A6PW57"	"Phosphatidylinositol 4-phosphate 5-kinase type-1 alpha OS"	"PIP5K1A"	"PI51A"	"Metabolic"	53.68	"23.64%"	8	9	12	33	5.63e+08	550	61.2	8.34	"Syn5"	1	"Syn1"	2	0.988	9.2	17	"Syn5_1/Syn1_2"	-0.0174170530774094
"A6PW57"	"Phosphatidylinositol 4-phosphate 5-kinase type-1 alpha OS"	"PIP5K1A"	"PI51A"	"Metabolic"	53.68	"23.64%"	8	9	12	33	5.63e+08	550	61.2	8.34	"Syn5"	1	"Syn1"	3	1.053	9.3	17	"Syn5_1/Syn1_3"	0.0745054363636298
"A6PW57"	"Phosphatidylinositol 4-phosphate 5-kinase type-1 alpha OS"	"PIP5K1A"	"PI51A"	"Metabolic"	53.68	"23.64%"	8	9	12	33	5.63e+08	550	61.2	8.34	"Syn5"	2	"Syn1"	1	1.043	18.5	17	"Syn5_2/Syn1_1"	0.0607391578576785
"A6PW57"	"Phosphatidylinositol 4-phosphate 5-kinase type-1 alpha OS"	"PIP5K1A"	"PI51A"	"Metabolic"	53.68	"23.64%"	8	9	12	33	5.63e+08	550	61.2	8.34	"Syn5"	2	"Syn1"	2	1.002	18.6	17	"Syn5_2/Syn1_2"	0.00288250853312136
"A6PW57"	"Phosphatidylinositol 4-phosphate 5-kinase type-1 alpha OS"	"PIP5K1A"	"PI51A"	"Metabolic"	53.68	"23.64%"	8	9	12	33	5.63e+08	550	61.2	8.34	"Syn5"	2	"Syn1"	3	1.111	14.7	17	"Syn5_2/Syn1_3"	0.151858816727005
"A6PW57"	"Phosphatidylinositol 4-phosphate 5-kinase type-1 alpha OS"	"PIP5K1A"	"PI51A"	"Metabolic"	53.68	"23.64%"	8	9	12	33	5.63e+08	550	61.2	8.34	"Syn5"	3	"Syn1"	1	0.969	28.7	17	"Syn5_3/Syn1_1"	-0.045431429247006
"A6PW57"	"Phosphatidylinositol 4-phosphate 5-kinase type-1 alpha OS"	"PIP5K1A"	"PI51A"	"Metabolic"	53.68	"23.64%"	8	9	12	33	5.63e+08	550	61.2	8.34	"Syn5"	3	"Syn1"	2	0.996	19.2	17	"Syn5_3/Syn1_2"	-0.00578235259400611
"A6PW57"	"Phosphatidylinositol 4-phosphate 5-kinase type-1 alpha OS"	"PIP5K1A"	"PI51A"	"Metabolic"	53.68	"23.64%"	8	9	12	33	5.63e+08	550	61.2	8.34	"Syn5"	3	"Syn1"	3	1.172	19	17	"Syn5_3/Syn1_3"	0.228972569760161
"A8MYT4"	"Phosphatidylinositol 3-kinase catalytic subunit type 3 OS"	"PIK3C3"	"PK3C3"	"Metabolic"	4.75	"2.18%"	4	2	2	2	29200000	824	94.3	6.64	"Syn1"	2	"Syn1"	1	0.984	1.4	2	"Syn1_2/Syn1_1"	-0.0232697793228472
"A8MYT4"	"Phosphatidylinositol 3-kinase catalytic subunit type 3 OS"	"PIK3C3"	"PK3C3"	"Metabolic"	4.75	"2.18%"	4	2	2	2	29200000	824	94.3	6.64	"Syn1"	3	"Syn1"	1	1.124	11.2	2	"Syn1_3/Syn1_1"	0.168642035558839
"A8MYT4"	"Phosphatidylinositol 3-kinase catalytic subunit type 3 OS"	"PIK3C3"	"PK3C3"	"Metabolic"	4.75	"2.18%"	4	2	2	2	29200000	824	94.3	6.64	"Syn5"	1	"Syn1"	1	1.161	14.1	2	"Syn5_1/Syn1_1"	0.215367972203479
"A8MYT4"	"Phosphatidylinositol 3-kinase catalytic subunit type 3 OS"	"PIK3C3"	"PK3C3"	"Metabolic"	4.75	"2.18%"	4	2	2	2	29200000	824	94.3	6.64	"Syn5"	1	"Syn1"	2	0.884	6	2	"Syn5_1/Syn1_2"	-0.177881725270655
"A8MYT4"	"Phosphatidylinositol 3-kinase catalytic subunit type 3 OS"	"PIK3C3"	"PK3C3"	"Metabolic"	4.75	"2.18%"	4	2	2	2	29200000	824	94.3	6.64	"Syn5"	1	"Syn1"	3	1.138	5.7	2	"Syn5_1/Syn1_3"	0.186500557644495
"A8MYT4"	"Phosphatidylinositol 3-kinase catalytic subunit type 3 OS"	"PIK3C3"	"PK3C3"	"Metabolic"	4.75	"2.18%"	4	2	2	2	29200000	824	94.3	6.64	"Syn5"	2	"Syn1"	1	1.154	15.5	2	"Syn5_2/Syn1_1"	0.206643223983395
"A8MYT4"	"Phosphatidylinositol 3-kinase catalytic subunit type 3 OS"	"PIK3C3"	"PK3C3"	"Metabolic"	4.75	"2.18%"	4	2	2	2	29200000	824	94.3	6.64	"Syn5"	2	"Syn1"	2	0.889	4.5	2	"Syn5_2/Syn1_2"	-0.169744675832317
